model,MAE,RMSE,R2,model_run_timestamp,split_date,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,training_start_timestamp,training_end_timestamp,training_duration_seconds,source_folder,scope
Baseline: rolling_volatility_20d,0.0046471957325684,0.007130185107893,0.0015102059479311,2026-07-20T23:25:36.421237,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,,linear_regression,All tickers
Linear Regression,0.0051072188197488,0.0074556584789829,-0.0917269536852734,2026-07-20T23:25:36.421237,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:25:36.441909,2026-07-20T23:25:36.449909,0.0083916999992652,linear_regression,All tickers
Baseline: rolling_volatility_20d,0.0046471957325684,0.007130185107893,0.0015102059479311,2026-07-20T23:26:51.953264,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,,ridge_regression,All tickers
Linear Regression,0.0051072188197488,0.0074556584789829,-0.0917269536852734,2026-07-20T23:26:51.953264,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:25:36.441909,2026-07-20T23:25:36.449909,0.0083916999992652,ridge_regression,All tickers
Ridge Regression,0.0051028539657793,0.007451505760737,-0.0905111330140142,2026-07-20T23:26:51.953264,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:26:51.965593,2026-07-20T23:26:52.049593,0.0844235000004118,ridge_regression,All tickers
Baseline: rolling_volatility_20d,0.0046471957325684,0.007130185107893,0.0015102059479312,2026-07-20T23:26:03.830064,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,,random_forest,All tickers
Random Forest (tuned),0.0040623605043445,0.006517433525385,0.1657518714038174,2026-07-20T23:26:03.830064,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:26:03.841926,2026-07-20T23:26:39.851653,36.00915789999999,random_forest,All tickers
Baseline: rolling_volatility_20d,0.0046471957325684,0.007130185107893,0.0015102059479311,2026-07-20T23:25:49.799349,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,,,,gradient_boosting,All tickers
Gradient Boosting,0.0041125789289306,0.0060476609926828,0.2816817552283734,2026-07-20T23:25:49.799349,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,31269,10101,2026-07-20T23:25:49.812531,2026-07-20T23:25:51.296102,1.4838904999996885,gradient_boosting,All tickers
Baseline: rolling_volatility_20d,0.0040175238223508,0.0066275059886533,-0.4192433756084943,2026-07-20T23:27:04.786681,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,1489,481,,,,garch_spy_only,SPY only
"GARCH(1,1)",0.0038151003240753,0.0060269857037231,-0.1736995572199329,2026-07-20T23:27:04.786681,2024-01-01,2018-01-31,2023-12-29,2024-01-02,2025-12-01,1489,481,2026-07-20T23:27:04.797188,2026-07-20T23:27:04.805186,0.0083364000001893,garch_spy_only,SPY only
