feature,importance
rolling_abs_return_20d,0.4599180884754812
risk_free_rate_decimal,0.1163796608730393
cpi_pct_change,0.10207764867992912
vix,0.06370472161130976
yield_curve_spread,0.045468154486217244
recession_flag,0.03888207534761546
rolling_volatility_5d,0.03273623190071874
fed_funds_rate_pct,0.026888939156739466
rolling_volatility_20d,0.019842072472187458
treasury_10yr_pct,0.0196513720657317
rolling_return_5d,0.017823022818627406
unemployment_rate_pct,0.015410181242826367
price_to_moving_avg_20d,0.0142605453906746
rolling_return_20d,0.013284991108643372
rolling_squared_return_20d,0.010407291146786042
is_inverted,0.0010740823958126644
return_lag_5,0.0005383213356953908
abs_return,0.000473380900309861
daily_return,0.0004232016873458102
return_lag_1,0.0004089414162776178
squared_return,0.0003470754880315011
