,Equal Weight,Historical Min Vol,Historical Max Sharpe,RF Predictive Min Vol,RF Predictive Max Sharpe
AAPL,0.05,0.0,0.14996744762841924,0.0,0.17345100065400124
AGG,0.05,0.25,0.04283730143861198,0.25,0.0
AMZN,0.05,0.0,0.0,1.527540346630989e-17,1.593058754320794e-16
CAT,0.05,0.014752083940560748,0.04362545545058027,0.013995283050721535,0.04859363064350476
GLD,0.05,0.2325486846098551,0.25,0.11782222276099005,0.18131707426358193
JPM,0.05,0.04245400383495886,1.1537690372045046e-16,0.03774558195893114,0.0
KO,0.05,0.02103492865711886,0.0,0.04842229469620206,1.541517688359737e-16
LLY,0.05,0.0229388352289529,0.25,0.031275921540048573,0.2499999999999998
LMT,0.05,0.041664945976687955,8.571272863924629e-17,0.10301247669646976,0.0
MSFT,0.05,0.0,0.15354858748413047,0.0,0.2195522979506093
NEE,0.05,0.0,0.0,4.1368105224013136e-19,2.787809109467328e-16
PG,0.05,0.043295836326359895,0.0,0.00803416576773342,0.0
QQQ,0.05,7.133452658812145e-18,0.0,2.6310548703138916e-17,1.3548666664503272e-16
TLT,0.05,0.22302352584807733,0.10374542311585226,0.21173766851763567,0.08138059610805351
UNH,0.05,0.000617107586468173,0.006275784882405633,2.019326546254252e-18,0.0
V,0.05,6.799579355817057e-18,0.0,0.07200906179322114,0.04570540038024945
VNQ,0.05,0.0,0.0,0.0,7.925175569850581e-16
VXUS,0.05,0.02078723821710861,0.0,0.07586378421294918,3.641530338921793e-17
VZ,0.05,0.07256858351493882,0.0,0.014076282476339927,2.7838298719556374e-16
XOM,0.05,0.014314226258912913,1.5406217761700107e-16,0.016005256528757533,0.0
