ticker,rmse_rf,rmse_baseline,rmse_improvement,rf_wins
CAT,0.0068920506515162345,0.009031603214182683,0.23689620900380393,True
SPY,0.005060384399353233,0.006627505988653324,0.23645721210710247,True
GLD,0.0036306755394844153,0.004751330226180944,0.23586125008138958,True
V,0.004941199463676414,0.0063792765378023345,0.22542949276523117,True
QQQ,0.005593369044811187,0.007176789481408383,0.22063074870721489,True
AAPL,0.0075075842717732405,0.009627689509529214,0.2202091411088355,True
JPM,0.006319034734675619,0.008087611683508685,0.21867728299064382,True
MSFT,0.004817679742965232,0.00614746245005151,0.21631408372004546,True
LLY,0.009863362547108534,0.012548089130756841,0.2139550138409303,True
AMZN,0.007393385186388982,0.009337929570369602,0.20824149179180984,True
LMT,0.005431420421196089,0.006783940699036147,0.19937088748906995,True
NEE,0.004592757381845756,0.005566723921095418,0.1749622494406019,True
VXUS,0.004179301101582489,0.004894875276625872,0.1461884388475455,True
VZ,0.004709054071567932,0.005507531101867392,0.14497912322796092,True
PG,0.003577522927548771,0.004122243621049233,0.13214180033391976,True
UNH,0.011836726676779971,0.013410118638995714,0.1173287130838967,True
VNQ,0.003940904857456934,0.004433687887669447,0.11114517816714042,True
KO,0.002725421881062132,0.002995828193181021,0.09026095446139948,True
XOM,0.004531495736821613,0.004843161560387593,0.06435172968729896,True
TLT,0.0023282715517411795,0.0024199447265617173,0.03788234244126232,True
AGG,0.0011439364169713916,0.0008621649537762971,-0.3268185072484455,False
