,mean_daily_return,daily_volatility,annualized_return,annualized_volatility,min_daily_return,max_daily_return
AAPL,0.0011401837277007375,0.019401035586126984,0.28732629938058585,0.3079818920280375,-0.12864730985281037,0.15328842301473977
AGG,7.67692783532925e-05,0.0036688722450702897,0.01934585814502971,0.05824154131513924,-0.040010195108365676,0.023720893536748777
AMZN,0.000913826435284587,0.021679679000938683,0.23028426169171592,0.344154234841158,-0.14049437774923412,0.13535901735711864
CAT,0.0009363548524001352,0.020035087541031962,0.23596142280483406,0.31804715477387496,-0.14282178790693156,0.116346063047708
GLD,0.000622667959013042,0.00953536935391609,0.15691232567128657,0.15136929581765168,-0.06426889260666147,0.048530353360380474
JPM,0.0008222893858572033,0.01829757363705416,0.20721692523601523,0.2904649766372216,-0.14964881766469917,0.18012509894033202
KO,0.0004129586766692019,0.012163361328059868,0.10406558652063888,0.19308737508400042,-0.09672475248265,0.06479553464188137
LLY,0.0015203665629325983,0.01974115295628504,0.3831323738590148,0.3133810878961066,-0.1413642795147575,0.15679798703715297
LMT,0.00044217436337500975,0.01565901060382947,0.11142793957050245,0.2485790870103369,-0.12761631974285503,0.1072795135432556
MSFT,0.0010652606939738853,0.017860775885090024,0.26844569488141906,0.28353102728764656,-0.14738999585152956,0.14216878878989192
NEE,0.0006094569890848595,0.017092476271426245,0.1535831612493846,0.2713346490267984,-0.1341706120484859,0.1369035256632989
PG,0.0004152253812528336,0.012590683130256443,0.10463679607571406,0.19987089839444885,-0.08737347726040334,0.12009049320304999
QQQ,0.0008197720351581128,0.015153217595929544,0.20658255285984442,0.2405498719276657,-0.11978764405582354,0.12003097495477899
SPY,0.0006048066307313809,0.012260098598710937,0.15241127094430798,0.1946230316479237,-0.10942366260333969,0.10501937798947614
TLT,-1.8092402951905897e-05,0.00992262718410022,-0.004559285543880286,0.1575168232892298,-0.06668219151543553,0.07519628010937751
UNH,0.0004652964196765416,0.01977183842379966,0.11725469775848849,0.3138682045915512,-0.22379657706649225,0.12798946181974968
V,0.0007217867281342766,0.016307254446551962,0.1818902554898377,0.2588696389909724,-0.1354718061624418,0.13842674463099547
VNQ,0.0002900384597882492,0.014006258390762331,0.0730896918666388,0.22234245900281316,-0.17727731559807902,0.08996632719287434
VXUS,0.0003244427871227915,0.01122397496589487,0.08175958235494346,0.178175078888235,-0.11131825461317446,0.08380963873342018
VZ,0.00016212414964560242,0.012987072238245396,0.04085528571069181,0.20616338040736984,-0.07497799106560332,0.09270473730452933
XOM,0.0005383009009764176,0.01899624680454411,0.13565182704605724,0.3015560693305747,-0.12224792190047995,0.12686767317768965
